Cấp 1,Cấp 2,Cấp 3,Cấp 4,Cấp 5,Tên ngành VSIC 2018,Từ khóa nhận diện và phân loại gói thầu,Nhóm lĩnh vực phân loại lại,Lĩnh vực chi tiết trong đấu thầu (phân loại lại),
,,,142,,"Chăn nuôi ngựa, lừa, la và sản xuất giống ngựa, lừa","Chăn nuôi ngựa, sản xuất giống ngựa, sản xuất thịt ngựa, chăn nuôi lừa, sản xuất giống lừa",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,,1421,"Sản xuất giống ngựa, lừa","Sản xuất giống ngựa, sản xuất giống lừa",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,,1422,"Chăn nuôi ngựa, lừa, la","Chăn nuôi ngựa, chăn nuôi lừa, chăn nuôi la",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,144,,"Chăn nuôi dê, cừu và sản xuất giống dê, cừu, hươu, nai","Chăn nuôi dê, sản xuất giống dê, sản xuất thịt dê, chăn nuôi cừu, sản xuất giống cừu, Chăn nuôi hươu, sừng hươu, chăn nuôi nai, sản xuất nai giống",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,,1441,"Sản xuất giống dê, cừu, hươu, nai","Sản xuất dê giống, sản xuất cừu giống, sản xuất hưu giống, sản xuất nai giống",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,,1442,"Chăn nuôi dê, cừu, hươu, nai","Chăn nuôi dê, sản xuất thịt dê, chăn nuôi cừu, lông cừu, chăn nuôi hươu, sừng hươu, chăn nuôi nai, thịt nai",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,145,,Chăn nuôi lợn và sản xuất giống lợn,"Chăn nuôi lợn, sản xuất thịt lợn, giống lợn",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,,1451,Sản xuất giống lợn,"Giống lợn, lợn giống",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,,1452,Chăn nuôi lợn,"Chăn nuôi lợn, sản xuất thịt lợn",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,146,,Chăn nuôi gia cầm,"Chăn nuôi gà, chăn nuôi vịt, chăn nuôi ngan, chăn nuôi ngỗng, giống gia cầm, ấp trứng, sản xuất trứng",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,,1461,Hoạt động ấp trứng và sản xuất giống gia cầm,"Ấp trứng, sản xuất trứng, giống gia cầm",Nông nghiệp,"Ngành nông, lâm nghiệp",Bán trứng -> Thực phẩm
,,,,1462,Chăn nuôi gà,"Chăn nuôi gà, sản xuất thịt gà",Nông nghiệp,"Ngành nông, lâm nghiệp",
