Cấp 1,Cấp 2,Cấp 3,Cấp 4,Cấp 5,Tên ngành VSIC 2018,Từ khóa nhận diện và phân loại gói thầu,Nhóm lĩnh vực phân loại lại,Lĩnh vực chi tiết trong đấu thầu (phân loại lại),
,,,1511,15110,"Thuộc, sơ chế da; sơ chế và nhuộm da lông thú","Thuộc da, nguyên liệu da, nhuộm da, nhuộm lông thú",Công nghiệp,Dệt may-Da giày,
,,,1512,15120,"Sản xuất vali, túi xách và các loại tương tự, sản xuất yên đệm","Sản xuất vali, sản xuất túi xách, sản xuất yên, vali, túi xách",Công nghiệp,Dệt may-Da giày,
,,152,1520,15200,"Sản xuất giày, dép","Sản xuất giày dép, giày, dép",Công nghiệp,Dệt may-Da giày,
,16,,,,"Chế biến gỗ và sản xuất sản phẩm từ gỗ, tre, nứa (trừ giường, tủ, bàn, ghế); sản xuất sản phẩm từ rơm, rạ và vật liệu tết bện",,,,
,,161,1610,,"Cưa, xẻ, bào gỗ và bảo quản gỗ","Cưa gỗ, xẻ gỗ, gia công gỗ, bào gỗ, đánh bóng gỗ, bảo quản gỗ, hấp gỗ, sấy gỗ",Công nghiệp,Công nghiệp nhẹ,
,,,,16101,"Cưa, xẻ và bào gỗ","Cưa gỗ, xẻ gỗ, gia công gỗ, bào gỗ, đánh bóng gỗ",Công nghiệp,Công nghiệp nhẹ,
,,,,16102,Bảo quản gỗ,"Bảo quản gỗ, hấp gỗ, sấy gỗ",Công nghiệp,Công nghiệp nhẹ,
,,162,,,"Sản xuất sản phẩm từ gỗ, tre, nứa (trừ giường, tủ, bàn, ghế); sản xuất sản phẩm từ rơm, rạ và vật liệu tết bện",,,,
,,,1621,16210,"Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác","Sản xuất gỗ dán, gỗ dán, sản xuất gỗ lạng, gỗ lạng, sản xuất ván ép, ván ép",Công nghiệp,Công nghiệp nhẹ,
,,,1622,16220,Sản xuất đồ gỗ xây dựng,"Tủ, Bàn ghế, Giường, Kệ nội thất, Vách ngăn, Quầy",Công nghiệp,Công nghiệp nhẹ,
,,,1623,16230,Sản xuất bao bì bằng gỗ,Bao bì,Công nghiệp,Công nghiệp nhẹ,
,,,1629,,"Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện","Tủ, Bàn ghế, Giường, Kệ nội thất, Vách ngăn, Quầy",Công nghiệp,Công nghiệp nhẹ,
,,,,16291,Sản xuất sản phẩm khác từ gỗ,"Tủ, Bàn ghế, Giường, Kệ nội thất, Vách ngăn, Quầy",Công nghiệp,Công nghiệp nhẹ,
,,,,16292,"Sản xuất sản phẩm từ lâm sản (trừ gỗ), cói và vật liệu tết bện","Tủ, Bàn ghế, Giường, Kệ nội thất, Vách ngăn, Quầy",Công nghiệp,Công nghiệp nhẹ,
,17,170,,,Sản xuất giấy và sản phẩm từ giấy,,,,
,,,1701,17010,"Sản xuất bột giấy, giấy và bìa","Bột giấy, bìa giấy, bìa carton",Công nghiệp,Công nghiệp nhẹ,
,,,1702,,"Sản xuất giấy nhăn, bìa nhăn, bao bì từ giấy và bìa","Giấy nhăn, bìa nhăn, bao bì, bìa giấy",Công nghiệp,Công nghiệp nhẹ,
,,,,17021,"Sản xuất bao bì bằng giấy, bìa","Sản xuất bao bì, bao bì, vỏ bìa ",Công nghiệp,Công nghiệp nhẹ,
,,,,17022,Sản xuất giấy nhăn và bìa nhăn,"Giấy nhăn, bìa nhăn, bao bì, bìa giấy",Công nghiệp,Công nghiệp nhẹ,
,,,1709,17090,Sản xuất các sản phẩm khác từ giấy và bìa chưa được phân vào đâu,"Sản xuất giấy, bìa giấy, bao bì",Công nghiệp,Công nghiệp nhẹ,
,18,,,,"In, sao chép bản ghi các loại",,,,
,,181,,,In ấn và dịch vụ liên quan đến in,,,,
,,,1811,18110,In ấn,In ấn,"Dịch vụ truyền thông, tổ chức sự kiện, in ấn, đào tạo","In ấn, đào tạo",
,,,1812,18120,Dịch vụ liên quan đến in,"In ấn, xuất bản, đóng quyển","Dịch vụ truyền thông, tổ chức sự kiện, in ấn, đào tạo","In ấn, đào tạo",
,,182,1820,18200,Sao chép bản ghi các loại,"Phô tô, sao chụp, sao chép bản ghi","Dịch vụ truyền thông, tổ chức sự kiện, in ấn, đào tạo","In ấn, đào tạo",
,19,,,,"Sản xuất than cốc, sản phẩm dầu mỏ tinh chế",,,,
,,191,1910,19100,Sản xuất than cốc,"Sản xuất than cốc, than cốc",Công nghiệp,Công nghiệp nặng,
,,192,1920,19200,Sản xuất sản phẩm dầu mỏ tinh chế,"Nhựa đường, hạt nhựa, phân đạm",Công nghiệp,Công nghiệp nặng,
,20,,,,Sản xuất hoá chất và sản phẩm hoá chất,,,,
,,201,,,"Sản xuất hoá chất cơ bản, phân bón và hợp chất ni tơ; sản xuất plastic và cao su tổng hợp dạng nguyên sinh",,,,
,,,2011,,Sản xuất hoá chất cơ bản,"Hóa chất cơ bản, sản xuất hóa chất",Công nghiệp,Hóa chất,
,,,,20111,Sản xuất khí công nghiệp,"Khí công nghiệp, sản xuất khí",Công nghiệp,Công nghiệp nặng,
,,,,20112,Sản xuất chất nhuộm và chất màu,"Màu nhuộm, chất nhuộm, chất màu, màu công nghiệp",Công nghiệp,Hóa chất,
,,,,20113,Sản xuất hóa chất vô cơ cơ bản khác,"Sản xuất hóa chất vô cơ, hóa chất cơ bản, sản xuất hóa chất cơ bản",Công nghiệp,Hóa chất,
,,,,20114,Sản xuất hoá chất hữu cơ cơ bản khác,"Sản xuất hóa chất hữu cơ, hóa chất hữu cơ cơ bản",Công nghiệp,Hóa chất,
,,,,20119,Sản xuất hóa chất cơ bản khác,Sản xuất hóa chất cơ bản,,,
,,,2012,20120,Sản xuất phân bón và hợp chất ni tơ,"Sản xuất phân bón, sản xuất phân NPK, phân bón, phân NPK",Công nghiệp,Hóa chất,
,,,2013,,Sản xuất plastic và cao su tổng hợp dạng nguyên sinh,"Sản xuất nhựa, nhựa nguyên sinh, sản xuất cao su tổng hợp, cao su tổng hợp nguyên sinh",Công nghiệp,Hóa chất,
,,,,20131,Sản xuất plastic nguyên sinh,"Sản xuất nhựa, nhựa nguyên sinh",Công nghiệp,Hóa chất,
,,,,20132,Sản xuất cao su tổng hợp dạng nguyên sinh,"Sản xuất cao su tổng hợp, cao su tổng hợp nguyên sinh",Công nghiệp,Hóa chất,
,,202,,,Sản xuất sản phẩm hoá chất khác,,,,
,,,2021,20210,Sản xuất thuốc trừ sâu và sản phẩm hoá chất khác dùng trong nông nghiệp,"Sản xuất thuốc trừ sâu, thuốc trừ sâu, hóa chất nông nghiệp, thuốc diệt cỏ",Công nghiệp,Hóa chất,
,,,2022,,"Sản xuất sơn, véc ni và các chất sơn, quét tương tự; sản xuất mực in và ma tít","Sơn, sản xuất sơn, véc ni, sản xuất véc ni, sản xuất mực in, sản xuất ma tít",Công nghiệp,Hóa chất,
,,,,,,,,,
,,,,20221,"Sản xuất sơn, véc ni và các chất sơn, quét tương tự, ma tít","Sơn, sản xuất sơn, véc ni, sản xuất véc ni, sản xuất mực in, sản xuất ma tít",Công nghiệp,Hóa chất,
,,,,20222,Sản xuất mực in,Sản xuất mực in,Công nghiệp,Hóa chất,
,,,2023,,"Sản xuất mỹ phẩm, xà phòng, chất tẩy rửa, làm bóng và chế phẩm vệ sinh","Sản xuất mỹ phẩm, sản xuất xà phòng, sản xuất chất tẩy rửa, sản xuất chất vệ sinh, mỹ phẩm ,xà phòng, chất tẩy rửa, dung dịch vệ sinh",Công nghiệp,Hóa chất,
,,,,20231,Sản xuất mỹ phẩm,"Mỹ phẩm, sản xuất mỹ phẩm",Công nghiệp,Hóa chất,
,,,,20232,"Sản xuất xà phòng, chất tẩy rửa, làm bóng và chế phẩm vệ sinh","Sản xuất xà phòng, sản xuất chất tẩy rửa, sản xuất chất vệ sinh, mỹ phẩm ,xà phòng, chất tẩy rửa, dung dịch vệ sinh",Công nghiệp,Hóa chất,
,,,2029,20290,Sản xuất sản phẩm hoá chất khác chưa được phân vào đâu,Hóa chất khác,Công nghiệp,Hóa chất,
,,203,2030,20300,Sản xuất sợi nhân tạo,"Sợi công nghiệp, sợi nhân tạo",Công nghiệp,Dệt may-Da giày,
,21,,,,"Sản xuất thuốc, hoá dược và dược liệu",,,,
,,210,2100,,"Sản xuất thuốc, hoá dược và dược liệu","Dược phẩm, thuốc chữa bệnh, sản xuất thuốc, Thực phẩm chức năng",Công nghiệp,"Dược phẩm, y tế",
,,,,21001,Sản xuất thuốc các loại,"Sản xuất thuốc, thuốc chữa bệnh",Công nghiệp,"Dược phẩm, y tế",
,,,,21002,Sản xuất hoá dược và dược liệu,"Dược phẩm, thuốc chữa bệnh, dược liệu, sản xuất dược liệu, Thực phẩm chức năng",Công nghiệp,"Dược phẩm, y tế",
,22,,,,Sản xuất sản phẩm từ cao su và plastic,,,,
,,221,,,Sản xuất sản phẩm từ cao su,,,,
,,,2211,22110,"Sản xuất săm, lốp cao su; đắp và tái chế lốp cao su","Sản xuất săm, sản xuất lốp, tái chế lốp, săm cao su, lốp cao su",Công nghiệp,Công nghiệp nhẹ,
,,,2219,22190,Sản xuất sản phẩm khác từ cao su,Cao su,Công nghiệp,Công nghiệp nhẹ,
,,222,2220,,Sản xuất sản phẩm từ plastic,"bao bì nhựa, túi nhựa, vỏ nhựa",Công nghiệp,Công nghiệp nhẹ,
,,,,22201,Sản xuất bao bì từ plastic,"bao bì nhựa, túi nhựa, vỏ nhựa",Công nghiệp,Công nghiệp nhẹ,
,,,,22209,Sản xuất sản phẩm khác từ plastic,"Plastic, hạt nhựa, đồ nhựa",Công nghiệp,Công nghiệp nhẹ,
,23,,,,Sản xuất sản phẩm từ khoáng phi kim loại khác,,,,
,,231,2310,,Sản xuất thủy tinh và sản phẩm từ thủy tinh,"Thủy tinh, pha lê",Công nghiệp,Công nghiệp nhẹ,
,,,,23101,Sản xuất thủy tinh phẳng và sản phẩm từ thủy tinh phẳng,"Thủy tinh, pha lê, thủy tinh phẳng",Công nghiệp,Công nghiệp nhẹ,
,,,,23102,Sản xuất thủy tinh rỗng và sản phẩm từ thủy tinh rỗng,"Thủy tinh, pha lê, thủy tinh rỗng",Công nghiệp,Công nghiệp nhẹ,
,,,,23103,Sản xuất sợi thủy tinh và sản phẩm từ sợi thủy tinh,"Thủy tinh, pha lê, sợi thủy tinh",Công nghiệp,Công nghiệp nhẹ,
,,,,23109,Sản xuất thủy tinh khác và các sản phẩm từ thủy tinh,Sản phẩm từ thủy tinh,Công nghiệp,Công nghiệp nhẹ,
,,239,,,Sản xuất sản phẩm từ khoáng phi kim loại chưa được phân vào đâu,,,,
,,,2391,23910,Sản xuất sản phẩm chịu lửa,"Gạch chịu lửa, vật liệu chịu lửa",Công nghiệp,Vật liệu xây dựng,
,,,2392,23920,Sản xuất vật liệu xây dựng từ đất sét,"Gạch nung, gạch đỏ, gạch lỗ",Công nghiệp,Vật liệu xây dựng,
,,,2393,23930,Sản xuất sản phẩm gốm sứ khác,"Gốm, sứ",Công nghiệp,Vật liệu xây dựng,
,,,2394,,"Sản xuất xi măng, vôi và thạch cao",,,,
,,,,23941,Sản xuất xi măng,"Xi măng, sản xuất xi măng, bao xi măng",Công nghiệp,Vật liệu xây dựng,
,,,,23942,Sản xuất vôi,"Vôi sống, vôi tôi, vôi đóng bao, sản xuất vôi",Công nghiệp,Vật liệu xây dựng,
,,,,23943,Sản xuất thạch cao,"Tấm thạch cao, thạch cao",Công nghiệp,Vật liệu xây dựng,
,,,2395,23950,"Sản xuất bê tông và các sản phẩm từ bê tông, xi măng và thạch cao","Bê tông, bê tông đúc sẵn, bê tông siêu nhẹ, bê tông chuyên dụng, sản xuất thạch cao",Công nghiệp,Vật liệu xây dựng,
,,,2396,23960,Cắt tạo dáng và hoàn thiện đá,"Đá tấm, sản xuất đá tấm, đá lát, đá ốp",Công nghiệp,Vật liệu xây dựng,
,,,2399,23990,Sản xuất sản phẩm từ chất khoáng phi kim loại khác chưa được phân vào đâu,,Công nghiệp,Vật liệu xây dựng,
,24,,,,Sản xuất kim loại,,,,
,,241,2410,24100,"Sản xuất sắt, thép, gang","Sản xuất sắt xây dựng, thép xây dựng, gang đúc, gang lỏng",Công nghiệp,Công nghiệp nặng,
,,242,2420,,Sản xuất kim loại quý và kim loại màu,"Sản xuất kim loại quý, sản xuất kim loại màu, kim loại màu",Công nghiệp,Công nghiệp nặng,
,,,,24201,Sản xuất kim loại quý,"Sản xuất kim loại quý, kim loại hiếm",Công nghiệp,Công nghiệp nặng,
,,,,24202,Sản xuất kim loại màu,"Sản xuất kim loại màu, kim loại màu",Công nghiệp,Công nghiệp nặng,
,,243,,,Đúc kim loại,,,,
,,,2431,24310,"Đúc sắt, thép","Đúc sắt, đúc thép, đúc kim loại",Công nghiệp,Công nghiệp nặng,
,,,2432,24320,Đúc kim loại màu,Đúc kim loại màu,Công nghiệp,Công nghiệp nặng,
,25,,,,"Sản xuất sản phẩm từ kim loại đúc sẵn (trừ máy móc, thiết bị)",,,,
,,251,,,"Sản xuất các cấu kiện kim loại, thùng, bể chứa và nồi hơi",,,,
,,,2511,25110,Sản xuất các cấu kiện kim loại,"Cơ khí, chế tạo cấu kiện, kết cấu thép",Công nghiệp,"Chế biến, chế tạo",
,,,2512,25120,"Sản xuất thùng, bể chứa và dụng cụ chứa đựng bằng kim loại","Thùng inox, thùng sắt, thùng kim loại, bể inox, bể sắt, bể kim loại, silo chứa",Công nghiệp,"Chế biến, chế tạo",
,,,2513,25130,Sản xuất nồi hơi (trừ nồi hơi trung tâm),sản xuất nồi hơi,Công nghiệp,"Chế biến, chế tạo",
,,252,2520,25200,Sản xuất vũ khí và đạn dược,"vũ khí, đạn, thuốc nổ",Công nghiệp,"Chế biến, chế tạo",Đặc biệt
,,259,,,"Sản xuất sản phẩm khác bằng kim loại; các dịch vụ xử lý, gia công kim loại",,,,
,,,2591,25910,"Rèn, dập, ép và cán kim loại; luyện bột kim loại","Rèn, dập kim loại, dập khuôn kim loại, cám thép, cán sắt, luyện bột kim loại",Công nghiệp,"Chế biến, chế tạo",
,,,2592,25920,Gia công cơ khí; xử lý và tráng phủ kim loại,"Gia công cơ khí, mạ kim loại, sơn kim loại, xử lý bề mặt kim loại",Công nghiệp,"Chế biến, chế tạo",
,,,2593,25930,"Sản xuất dao kéo, dụng cụ cầm tay và đồ kim loại thông dụng","Sản xuất dao kéo, dao kéo, công cụ kim loại, dụng cụ kim loại",Công nghiệp,"Chế biến, chế tạo",
,,,2599,,Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu,Dụng cụ kim loại,Công nghiệp,"Chế biến, chế tạo",
,,,,25991,"Sản xuất đồ dùng bằng kim loại cho nhà bếp, nhà vệ sinh và nhà ăn","Dụng cụ nhà bếp, phụ kiện vệ sinh, đồ dùng nhà ăn",Công nghiệp,"Chế biến, chế tạo",
,,,,25999,Sản xuất sản phẩm khác còn lại bằng kim loại chưa được phân vào đâu,Dụng cụ kim loại,Công nghiệp,"Chế biến, chế tạo",
,26,,,,"Sản xuất sản phẩm điện tử, máy vi tính và sản phẩm quang học",,,,
,,261,2610,26100,Sản xuất linh kiện điện tử,"Linh kiện điện tử, bản mạch, thiết bị bán dẫn",Công nghiệp,Công nghiệp nhẹ,
,,262,2620,26200,Sản xuất máy vi tính và thiết bị ngoại vi của máy vi tính,"Sản xuất máy tính, Sản xuất máy in, Sản xuất máy photocopy, sản xuất điện thoại, Sản xuất máy fax, sãn xuất máy hủy tài liệu; sản xuất máy chủ, Server",Công nghiệp,Công nghiệp nhẹ,
,,263,2630,26300,Sản xuất thiết bị truyền thông,"Sản xuất máy chiếu, Sản xuất thiết bị Âm thanh, Sản xuất Loa; Sản xuất Đài, sản xuất Máy thu âm",Công nghiệp,Công nghiệp nhẹ,
,,264,2640,26400,Sản xuất sản phẩm điện tử dân dụng,"Sản xuất Camera giám sát, Sản xuất thiết bị viễn thông, sản xuất ti vi, sản xuất tủ lạnh, sản xuất máy giặt, săn xuất lò vi sóng, sản xuất bếp từ, sản xuất máy xay, sản xuất máy rửa bát, sản xuất điện tử dân dụng",Công nghiệp,Công nghiệp nhẹ,
,,265,,,"Sản xuất thiết bị đo lường, kiểm tra, định hướng và điều khiển; sản xuất đồng hồ",,,,
,,,2651,26510,"Sản xuất thiết bị đo lường, kiểm tra, định hướng và điều khiển","Máy trắc địa, máy thủy bình, thước laser, sản xuất thiết bị đo lường, sản xuất thiết bị kiểm định, sản xuất thiết bị điều khiển",Công nghiệp,Công nghiệp nhẹ,
,,,2652,26520,Sản xuất đồng hồ,sản xuất đồng hồ,Công nghiệp,Công nghiệp nhẹ,
,,266,2660,26600,"Sản xuất thiết bị bức xạ, thiết bị điện tử trong y học, điện liệu pháp","sản xuất Thiết bị bức xạ, sản xuất thiết bị điện tử y học",Công nghiệp,"Dược phẩm, y tế",
,,267,2670,26700,Sản xuất thiết bị và dụng cụ quang học,"sản xuất thiết bị Quang học, sản xuất kính lúp, sản xuất kính hiển vi, sản xuất thấu kính, sản xuất mặt kính cường lực",Công nghiệp,Công nghiệp nhẹ,
,,268,2680,26800,"Sản xuất băng, đĩa từ tính và quang học","ssản xuất Băng, sản xuất đĩa từ, sản xuất đĩa quang",Công nghiệp,Công nghiệp nhẹ,
,27,,,,Sản xuất thiết bị điện,,,,
,,271,2710,,"Sản xuất mô tơ, máy phát, biến thế điện, thiết bị phân phối và điều khiển điện","Sản xuất mô tơ, sản xuất máy phát, sản xuất biến thế điện, tủ điện, sản xuất tủ điện, tủ điều khiển, thiết bị điều khiển điện",Công nghiệp,"Chế biến, chế tạo",
,,,,27101,"Sản xuất mô tơ, máy phát","Sản xuất mô tơ, sản xuất máy phát, mô tơ điện, máy phát điện",Công nghiệp,"Chế biến, chế tạo",
,,,,27102,"Sản xuất biến thế điện, thiết bị phân phối và điều khiển điện","sản xuất biến thế điện, tủ điện, sản xuất tủ điện, tủ điều khiển, thiết bị điều khiển điện, sản xuất trạm biến áp, trạm biến áp",Công nghiệp,"Chế biến, chế tạo",
,,272,2720,27200,Sản xuất pin và ắc quy,"Sản xuất pin, pin điện, sản xuất ắc quy, bình điện, bình ắc quy",Công nghiệp,"Chế biến, chế tạo",
,,273,,,Sản xuất dây và thiết bị dây dẫn,,,,
,,,2731,27310,"Sản xuất dây cáp, sợi cáp quang học","cáp quang, dây dẫn, sản xuất cáp quang, sản xuất dây điện, cáp điện",Công nghiệp,"Chế biến, chế tạo",
,,,2732,27320,"Sản xuất dây, cáp điện và điện tử khác","Sản xuất dây điện, cáp điện, cáp đồng, cáp nhôm",Công nghiệp,"Chế biến, chế tạo",
,,,2733,27330,Sản xuất thiết bị dây dẫn điện các loại,"Sản xuất dây điện, dây dẫn, cáp điện, cáp đồng, cáp nhôm",Công nghiệp,"Chế biến, chế tạo",
,,274,2740,27400,Sản xuất thiết bị điện chiếu sáng,"Thiết bị điện, đèn chiếu sáng, đèn điện, đèn led",Công nghiệp,"Chế biến, chế tạo",
,,275,2750,27500,Sản xuất đồ điện dân dụng,"Thiết bị điện dân dụng, thiết bị điện gia đình",Công nghiệp,"Chế biến, chế tạo",
,,279,2790,27900,Sản xuất thiết bị điện khác,Thiết bị điện khác,Công nghiệp,"Chế biến, chế tạo",
,28,,,,"Sản xuất máy móc, thiết bị chưa được phân vào đâu",,,,
,,281,,,Sản xuất máy thông dụng,,,,
,,,2811,28110,"Sản xuất động cơ, tua bin (trừ động cơ máy bay, ô tô, mô tô và xe máy)","Sản xuất động cơ, sản xuất tua bin",Công nghiệp,"Chế biến, chế tạo",
,,,2812,28120,Sản xuất thiết bị sử dụng năng lượng chiết lưu,Sản xuất thiết bị điện,Công nghiệp,"Chế biến, chế tạo",
,,,2813,28130,"Sản xuất máy bơm, máy nén, vòi và van khác","Sản xuất Máy bơm, sản xuất máy nén, sản xuất van và vòi, sản xuất máy bơm, sản xuất máy nén, sản xuất van vòi",Công nghiệp,"Chế biến, chế tạo",
,,,2814,28140,"Sản xuất bi, bánh răng, hộp số, các bộ phận điều khiển và truyền chuyển động","Sản xuất bi, sản xuất bánh răng, sản xuất hộp số, sản xuất bộ phận chuyển động",Công nghiệp,"Chế biến, chế tạo",
,,,2815,28150,"Sản xuất lò nướng, lò luyện và lò nung","Lò luyện, lò nung, lò nướng, sản xuất lò luyện, sản xuất lò nung, sản xuất lò nướng",Công nghiệp,"Chế biến, chế tạo",
,,,2816,28160,"Sản xuất các thiết bị nâng, hạ và bốc xếp","Xe nâng, thiết bị bốc xếp, thiết bị nâng hạ",Công nghiệp,"Chế biến, chế tạo",
,,,2817,28170,Sản xuất máy móc và thiết bị văn phòng (trừ máy vi tính và thiết bị ngoại vi của máy vi tính),"Thiết bị văn phòng, sản xuất thiết bị văn phòng, máy móc văn phòng",Công nghiệp,Công nghiệp nhẹ,
,,,2818,28180,Sản xuất dụng cụ cầm tay chạy bằng mô tơ hoặc khí nén,Sản xuất dụng cụ cầm tay,Công nghiệp,"Chế biến, chế tạo",
,,,2819,28190,Sản xuất máy thông dụng khác,Sản xuất máy khác,Công nghiệp,"Chế biến, chế tạo",
,,282,,,Sản xuất máy chuyên dụng,,,,
,,,2821,28210,Sản xuất máy nông nghiệp và lâm nghiệp,"Sản xuất máy nông nghiệp, sản xuất máy phục vụ lâm nghiệp, Máy nông nghiệp, máy cưa, máy cắt",Công nghiệp,"Chế biến, chế tạo",
,,,2822,28220,Sản xuất máy công cụ và máy tạo hình kim loại,"Máy phay kim loại, máy cắt kim loại, máy đục kim loại, Cơ khí, cơ khí chính xác",Công nghiệp,"Chế biến, chế tạo",
,,,2823,28230,Sản xuất máy luyện kim,Máy luyện kim,Công nghiệp,"Chế biến, chế tạo",
,,,2824,28240,Sản xuất máy khai thác mỏ và xây dựng,"Máy khai thác, Thiết bị mỏ, thiết bị xây dựng",Công nghiệp,"Chế biến, chế tạo",
,,,2825,28250,"Sản xuất máy chế biến thực phẩm, đồ uống và thuốc lá","Máy chế biến thực phẩm, máy đóng hộp, máy đóng gói, dây chuyền đóng hộp",Công nghiệp,"Chế biến, chế tạo",
,,,2826,28260,"Sản xuất máy cho ngành dệt, may và da","Sản xuất máy may, sản xuất máy dệt, sản xuất máy khâu, máy may, máy dệt, máy khâu, máy vắt, bồn nhuộm, nồi hấp",Công nghiệp,"Chế biến, chế tạo",
,,,2829,,Sản xuất máy chuyên dụng khác,,Công nghiệp,"Chế biến, chế tạo",
,,,,28291,Sản xuất máy sản xuất vật liệu xây dựng,Thiết bị xây dựng,Công nghiệp,"Chế biến, chế tạo",
,,,,28299,Sản xuất máy chuyên dụng khác chưa được phân vào đâu,"Sản xuất máy móc chuyên dụng, sản xuất thiết bị chuyên dụng",Công nghiệp,"Chế biến, chế tạo",
,29,,,,Sản xuất ô tô và xe có động cơ khác,,,,
,,291,2910,29100,Sản xuất ô tô và xe có động cơ khác,"Ô tô, phương tiện vận tải, sản xuất ô tô",Công nghiệp,Công nghiệp nặng,
,,292,2920,29200,"Sản xuất thân xe ô tô và xe có động cơ khác, rơ moóc và bán rơ moóc","Sản xuất thân xe, sản xuất vỏ xe, Phương tiện vận chuyển người, Ô tô tải, phương tiện vận chuyển hàng, sơ mi - rơ moóc, Phương tiện cứu hộ, Cano, thuyền, sản xuất máy kéo, sản xuất đầu kéo",Công nghiệp,"Chế biến, chế tạo",
,,293,2930,29300,Sản xuất phụ tùng và bộ phận phụ trợ cho xe ô tô và xe có động cơ khác,"Phụ tùng ô tô, phụ tùng động cơ, sản xuất phụ tùng ô tô, sản xuất phụ tùng động cơ",Công nghiệp,"Chế biến, chế tạo",
,30,,,,Sản xuất phương tiện vận tải khác,,,,
,,301,,,Đóng tàu và thuyền,,,,
,,,3011,30110,Đóng tàu và cấu kiện nổi,"Đóng tàu, sản xuất phao, sản xuất ụ nổi, sản xuất tàu thủy",Công nghiệp,Công nghiệp nặng,
,,,3012,30120,"Đóng thuyền, xuồng thể thao và giải trí","Đóng thuyền, đóng xuồng, sản xuất tàu thuyền, sản xuất cano, sản xuất du thuyền, du thuyền",Công nghiệp,Công nghiệp nặng,
,,302,3020,30200,"Sản xuất đầu máy xe lửa, xe điện và toa xe","Sản xuất đầu máy xe lửa, sản xuất xe điện, sản xuất toa xe, toa tàu, đầu tàu, tàu điện",Công nghiệp,Công nghiệp nặng,
,,303,3030,30300,"Sản xuất máy bay, tàu vũ trụ và máy móc liên quan","Sản xuất máy bay, sản xuất tàu vũ trụ, thiết bị hàng không",Công nghiệp,Công nghiệp nặng,
,,304,3040,30400,Sản xuất xe cơ giới chiến đấu dùng trong quân đội,Sản xuất xe quân sự,Công nghiệp,Công nghiệp nặng,
,,309,,,Sản xuất phương tiện và thiết bị vận tải chưa được phân vào đâu,,,,
,,,3091,30910,"Sản xuất mô tô, xe máy","Sản xuất mô tô, sản xuất xe máy",Công nghiệp,Công nghiệp nặng,
,,,3092,30920,Sản xuất xe đạp và xe cho người khuyết tật,"Sản xuất xe đạp, sản xuất xe lăn",Công nghiệp,Công nghiệp nặng,
,,,3099,30990,Sản xuất phương tiện và thiết bị vận tải khác chưa được phân vào đâu,Sản xuất xe cơ giới,Công nghiệp,Công nghiệp nặng,
,31,310,3100,,"Sản xuất giường, tủ, bàn, ghế","Sản xuất giường, sản xuất tủ, sản xuất bàn ghế, giường tủ, bàn ghế",Công nghiệp,Công nghiệp nhẹ,
,,,,31001,"Sản xuất giường, tủ, bàn, ghế bằng gỗ","Sản xuất giường, sản xuất tủ, sản xuất bàn ghế, giường tủ, bàn ghế",Công nghiệp,Công nghiệp nhẹ,
,,,,31002,"Sản xuất giường, tủ, bàn, ghế bằng kim loại","Sản xuất nội thất inox, sản xuất nội thất sắt mỹ thuật",Công nghiệp,Công nghiệp nhẹ,
,,,,31009,"Sản xuất giường, tủ, bàn, ghế bằng vật liệu khác",Sản xuất nội thất,Công nghiệp,Công nghiệp nhẹ,
,32,,,,"Công nghiệp chế biến, chế tạo khác",,,,
,,321,,,"Sản xuất đồ kim hoàn, đồ giả kim hoàn và các chi tiết liên quan",,,,
,,,3211,32110,Sản xuất đồ kim hoàn và chi tiết liên quan,"Chế tác trang sức, sản xuất trang sức",Công nghiệp,"Chế biến, chế tạo",
,,,3212,32120,Sản xuất đồ giả kim hoàn và chi tiết liên quan,"Chế tác trang sức, sản xuất trang sức",Công nghiệp,"Chế biến, chế tạo",
,,322,3220,32200,Sản xuất nhạc cụ,"Sản xuất nhạc cụ, nhạc cụ",Công nghiệp,"Chế biến, chế tạo",
,,323,3230,32300,"Sản xuất dụng cụ thể dục, thể thao","Dụng cụ thể thao, sản xuất dụng cụ thể dục",Công nghiệp,"Chế biến, chế tạo",
,,324,3240,32400,"Sản xuất đồ chơi, trò chơi","Sản xuất đồ chơi, sản xuất trò chơi",Công nghiệp,"Chế biến, chế tạo",
,,325,3250,,"Sản xuất thiết bị, dụng cụ y tế, nha khoa, chỉnh hình và phục hồi chức năng","Sản xuất dụng cụ y tế, sản xuất thiết bị y tế, thiết bị chỉnh hình, sản xuất thiết bị phục hồi chức năng",Công nghiệp,"Dược phẩm, y tế",
,,,,32501,"Sản xuất thiết bị, dụng cụ y tế, nha khoa","Sản xuất dụng cụ y tế, sản xuất thiết bị y tế, thiết bị nha khoa, thiết bị thẩm mỹ răng",Công nghiệp,"Dược phẩm, y tế",
,,,,32502,"Sản xuất dụng cụ chỉnh hình, phục hồi chức năng","Dụng cụ chỉnh hình, Thiết bị phục hồi chức năng",Công nghiệp,"Dược phẩm, y tế",
,,329,3290,32900,Sản xuất khác chưa được phân vào đâu,Sản xuất thiết bị y tế,Công nghiệp,"Dược phẩm, y tế",
